name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104633.53-005739.5,161.63972845586886,-0.9609977481917916,20.332129,0.044017326,19.415043,0.029151985,19.066608,0.020424522,18.910913,0.017624982,18.839981,0.04401631,19.2379,0.04606009
SDSS J104634.55-010257.3,161.64398926425076,-1.0492564367910648,22.108717,0.15190053,19.383242,0.029288935,18.287605,0.019048847,17.759636,0.014339077,17.432283,0.021149095,17.42,0.0094311945
SDSS J104639.57-005314.4,161.6648775321474,-0.8873560533534739,20.590036,0.0520111,19.733763,0.029971994,19.327944,0.021231983,19.172884,0.019323152,19.106604,0.05270092,19.1037,0.04194252
SDSS J104639.92-005957.2,161.66634606790657,-0.9992304593943502,21.415842,0.09178613,18.710339,0.028251568,17.32159,0.018419424,15.831617,0.013372109,15.027588,0.016110642,0.634,
SDSS J104641.32-005951.1,161.6721892617589,-0.9975440560002855,19.458462,0.028703956,18.385782,0.0280229,18.012638,0.018782923,17.85459,0.014451752,17.826698,0.024163673,17.9353,0.013254975
SDSS J104607.04-005642.1,161.52935139053648,-0.9450329420514567,17.06941,0.02559801,15.791858,0.01991576,15.320417,0.02011002,15.136549,0.01276124,15.067513,0.018332737,15.0752,0.0025911273
SDSS J104643.93-005055.6,161.68308301118498,-0.8487885767636489,21.508648,0.100463934,19.379976,0.029183472,18.505579,0.019232033,18.155228,0.014950297,17.961956,0.025157541,17.9639,0.013999338
SDSS J104540.54-010021.8,161.41892655634433,-1.0060753994390894,22.234932,0.1724814,21.18442,0.042901386,20.72403,0.037483476,20.795015,0.054165013,20.46025,0.1647542,20.768,0.12892908
SDSS J104650.53-010238.5,161.7105639071867,-1.044044214816002,20.204166,0.03873022,18.323513,0.028033081,17.681057,0.018645138,17.4554,0.014219976,17.285984,0.020295082,17.5706,0.013002259
SDSS J104617.20-010246.0,161.5716844814391,-1.0461266772976465,21.170723,0.07310763,20.241827,0.0327935,19.79562,0.024127766,19.564163,0.023437262,19.55278,0.08033938,19.6615,0.050380833
SDSS J104620.10-005403.9,161.58377471315566,-0.9011101468886451,22.14873,0.16787484,20.79222,0.03721915,20.228062,0.028013885,19.912283,0.028036842,19.755816,0.09092996,20.1983,0.10775153
SDSS J104622.12-005939.2,161.59219249673424,-0.9942286966359918,24.449158,0.7539301,21.719448,0.05902498,20.951612,0.04302274,20.721394,0.051428854,20.18934,0.1363575,20.6119,0.113680996
SDSS J104625.32-005642.5,161.6055088147341,-0.9451626505241519,21.403494,0.09255415,20.861856,0.03780901,20.709095,0.036406204,20.690475,0.049749397,20.28543,0.1450424,20.3898,0.09298754
